,Error Length,Message,Replacement,Sentence
0,7,Possible spelling mistake found.,"['Santosh', 'Santos', 'Santhosh', 'cantos', 'pantos', 'Satoshi']",...o grew Can Nikki help clinically make a santosh sell Subodh curfew from relaxed and par...
1,6,Possible spelling mistake found.,['Suborn'],...kki help clinically make a santosh sell Subodh curfew from relaxed and parlours Mayuka...
2,8,Possible spelling mistake found.,"['parlors', 'parlous', 'par lours']",...osh sell Subodh curfew from relaxed and parlours Mayuka Alert Google Critica A Champion ...
3,6,Possible spelling mistake found.,"['Maya', 'Cayuga', 'Maura', 'Mazurka', 'Mayra', 'Hanuka', 'Markka', 'Malika', 'Mauá']",...Subodh curfew from relaxed and parlours Mayuka Alert Google Critica A Champion Ministe...
4,7,Possible spelling mistake found.,"['Critical', 'Critics', 'Critic', 'Critic a']",...elaxed and parlours Mayuka Alert Google Critica A Champion Minister k P Maps about Chri...
5,6,Possible spelling mistake found.,['tom men'],...er k P Maps about Chris Santosh Machine tommen on technology CR mama Bye Now take econ...
6,4,"In some contexts, `mama` may be informal or familiar language.","['mother', 'mom']",...Santosh Machine tommen on technology CR mama Bye Now take economic. You will conside...
7,4,Possible spelling mistake found.,"['tell', 'tale', 'tile', 'Tell', 'tee', 'Pele', 'tel', 'telex', 'AELE', 'DELE', 'TEE', 'TLE', 'tole', 'Pelé']",...der hum there or app Development of the tele calls ran Market is app Download all so...
8,6,Possible spelling mistake found.,"['Shaky', 'Shaka', 'Shaky a']",...l media Marketing Khamenei aka offering Shakya or Hamill a Take a hammock A or B custo...
9,6,Possible spelling mistake found.,"['Latham', 'Langham']",...mill a Take a hammock A or B customers. Lanham helped us that there you came Ariba's a...
10,5,Possible spelling mistake found.,"['Aria', 'Aruba', 'ARIA', 'Arica']",...s. Lanham helped us that there you came Ariba's already trained field marketers Or te...
11,2,Possible spelling mistake found.,"['app', 'up', 'AP', 'a', 'as', 'at', 'an', 'am', 'eye', 'map', 'ad', 'cap', 'gap', 'lap', 'rap', 'HP', 'tap', 'ADP', 'AF', 'APA', 'APC', 'JP', 'NP', 'SAP', 'VP', 'amp', 'ape', 'apt', 'pa', 'sap', 'APG', 'APS', 'ARP', 'FP', 'ah', 'AD', 'APD', 'APM', 'Apr', 'IAP', 'WAP', 'asp', 'av', 'ax', 'nap', 'APB', 'APN', 'mp', 'pap', 'OAP', 'alp', 'zap', 'hap', 'yap', 'ATP', 'IP', 'op', 'A', 'AA', 'AAP', 'AB', 'ABP', 'AC', 'ACP', 'AE', 'AEP', 'AG', 'AGP', 'AI', 'AIP', 'AJ', 'AJP', 'AK', 'AKP', 'AL', 'ALP', 'AM', 'AMP', 'AN', 'ANP', 'AO', 'AOP', 'APE', 'APF', 'APH', 'API', 'APJ', 'APK', 'APL', 'APO', 'APP', 'APQ', 'APR', 'APT', 'APU', 'APV', 'APW', 'APX', 'APY', 'APZ', 'AQP', 'AR', 'ASP', 'AT', 'AU', 'AUP', 'AV', 'AVP', 'AWP', 'AX', 'AXP', 'AYP', 'AZ', 'Ac', 'Ag', 'Al', 'Am', 'Ar', 'As', 'At', 'Au', 'Av', 'BAP', 'BP', 'CAP', 'DP', 'EAP', 'FAP', 'GAP', 'GP', 'Gap', 'HAP', 'JAP', 'Jap', 'KP', 'LP', 'MAP', 'MP', 'NAP', 'Np', 'P', 'PAP', 'PP', 'RAP', 'RP', 'SP', 'Sp', 'TAP', 'TP', 'UAP', 'UP', 'VAP', 'WP', 'XAP', 'XP', 'YP', 'ZAP', 'ab', 'ac', 'aw', 'bap', 'hp', 'p', 'pp', 'A&P', 'AFP', 'APs', 'CP', 'DAP', 'EP', 'ai']",...Or tell a college our addiction Me agar ap Cho a student Audiences Konica Achille ...
12,3,Possible spelling mistake found.,"['CHO', 'Who', 'Tho', 'WHO', 'Echo', 'CIO', 'CFO', 'Che', 'Chop', 'CDO', 'CPO', 'CTO', 'Chou', 'Chow', 'CBO', 'Coho', 'Coo', 'MHO', 'CEO', 'CHG', 'Chm', 'AHO', 'BHO', 'CCO', 'CGO', 'CH', 'CHB', 'CHC', 'CHD', 'CHF', 'CHH', 'CHI', 'CHK', 'CHL', 'CHM', 'CHN', 'CHP', 'CHQ', 'CHR', 'CHS', 'CHT', 'CHV', 'CHW', 'CHX', 'CHY', 'CHZ', 'CMO', 'CNO', 'CO', 'CRO', 'CUO', 'CVO', 'CWO', 'CXO', 'CZO', 'Ch', 'Chi', 'Co', 'HO', 'Ho', 'Chg', 'Choc', 'Oho', 'Rho', 'CSO', 'Chao', 'Chu', 'The', 'To', 'He', 'Can', 'She', 'Two', 'Go', 'No', 'Show', 'So', 'Too', 'Do', 'How', 'Thou', 'Car', 'Cut', 'Shot', 'Whom', 'CD', 'Ago', 'Chose', 'Cm', 'Com', 'Hot', 'Pro', 'Shop', 'Why', 'Ohio', 'Cap', 'Cat', 'Choir', 'Cup', 'Duo', 'Hop', 'CBC', 'CDs', 'CIA', 'CNN', 'CPU', 'HBO', 'HD', 'PhD', 'Rio', 'Chaos', 'Chip', 'Chord', 'Cool', 'Crop', 'kHz', 'Shoe', 'Zoo', 'CSS', 'CTV', 'Chen', 'Cook', 'HP', 'HQ', 'Jo', 'NHS', 'UHF', 'Bio', 'Cab', 'Cf', 'Chat', 'Chef', 'Chin', 'Con', 'Cop', 'Cow', 'Cry', 'Cue', 'Ego', 'Hoc', 'Oh', 'pH', 'Quo', 'Shy', 'CAA', 'CBA', 'CBN', 'CCC', 'CCD', 'CDC', 'CDU', 'CFB', 'CGI', 'CNS', 'CPA', 'CPC', 'CPI', 'CPR', 'CRT', 'CSA', 'CSI', 'CSU', 'CSX', 'CV', 'Chad', 'Chan', 'Crow', 'DSO', 'GHz', 'HF', 'HK', 'IPO', 'KO', 'Lao', 'Mao', 'OHL', 'Thor', 'WTO', 'Cam', 'Choke', 'Cod', 'Hi', 'Thy', 'Yo', 'CAC', 'CBI', 'CCA', 'CCI', 'CCP', 'CCS', 'CDA', 'CDR', 'CEA', 'CFA', 'CFC', 'CFR', 'CFS', 'CIC', 'CIE', 'CLR', 'CMA', 'CME', 'CMG', 'CMOS', 'CNC', 'CNG', 'CNR', 'CNT', 'CRC', 'CSC', 'CSF', 'CSL', 'CSP', 'CSR', 'CST', 'CTA', 'CTC', 'CVS', 'CWA', 'Cato', 'Chico', 'Chloe', 'Como', 'Eco', 'FAO', 'GH', 'GPO', 'Geo', 'IMO', 'MHC', 'NCO', 'Soho', 'THC', 'Tao', 'USO', 'VH', 'Ah', 'Cal', 'Capo', 'Char', 'Chew', 'Chic', 'Chops', 'Clot', 'Col', 'Cub', 'Hog', 'Sh', 'Woo', 'AHS', 'BMO', 'CAI', 'CBF', 'CBM', 'CBP', 'CBT', 'CCG', 'CCR', 'CDT', 'CEP', 'CFD', 'CFE', 'CFP', 'CGA', 'CGS', 'CKD', 'CLI', 'CLP', 'CLS', 'CMB', 'CMF', 'CMU', 'CND', 'CNE', 'CPE', 'CPM', 'CSD', 'CSG', 'CSV', 'CTF', 'CTI', 'CTM', 'CTP', 'CVC', 'CVR', 'CVT', 'Cleo', 'Clio', 'Colo', 'ESO', 'FBO', 'FHA', 'HHS', 'HVO', 'IH', 'IHS', 'KGO', 'LFO', 'LHC', 'LSO', 'MHD', 'MRO', 'PSO', 'PTO', 'RPO', 'SFO', 'Tycho', 'Boo', 'Chap', 'Chub', 'Cit', 'Clog', 'Cob', 'Cog', 'Coop', 'Cot', 'Cox', 'Eh', 'Emo', 'Foo', 'Fro', 'Goo', 'Macho', 'Ohm', 'Phi', 'Uh', 'ACH', 'CBR', 'CCB', 'CCU', 'CDN', 'CFI', 'CFT', 'CFU', 'CJC', 'CJK', 'CLT', 'CNH', 'CNI', 'CPF', 'CRL', 'CTH', 'CVD', 'CWC', 'EHF', 'GMO', 'HMO', 'ICO', 'LPO', 'MCO', 'MTO', 'Ochoa', 'SRO', 'SSO', 'Ache', 'Chit', 'Chore', 'Chum', 'Cl', 'Coco', 'Coy', 'Cur', 'Hob', 'AFO', 'CDV', 'CLG', 'CSH', 'CTT', 'CXC', 'FPO', 'GHA', 'RCH', 'SHF', 'TCO', 'Ado', 'Aha', 'Bro', 'Cad', 'Chock', 'Chug', 'Clod', 'Coot', 'Cud', 'Hod', 'Moo', 'Ooh', 'Sch', 'Shoo', 'Whoa', 'AHQ', 'EEO', 'Caw', 'Chino', 'Ciao', 'Coos', 'Cw', 'IMHO', 'Wyo', 'Achy', 'Ahoy', 'Chomp', 'Chows', 'Clop', 'Nacho', 'CBS', 'CDP', 'Leo', 'MHz', 'Moho', 'NHL', 'UFO', 'Cpl', 'Ohs', 'Schmo', 'Vhf', 'Whop', 'Cloy', 'Cpd', '3DO', 'AAO', 'ACO', 'AEO', 'AGO', 'AHA', 'AHB', 'AHC', 'AHD', 'AHE', 'AHF', 'AHG', 'AHH', 'AHI', 'AHJ', 'AHK', 'AHL', 'AHM', 'AHN', 'AHR', 'AHT', 'AHU', 'AHV', 'AHW', 'AHX', 'AHY', 'AHZ', 'AIO', 'AJO', 'AKO', 'ALO', 'AMO', 'ANO', 'AO', 'AOO', 'APO', 'ATO', 'AUO', 'AVO', 'AYO', 'AZO', 'BBO', 'BCH', 'BCO', 'BDO', 'BEO', 'BFO', 'BGO', 'BHA', 'BHB', 'BHC', 'BHD', 'BHE', 'BHF', 'BHG', 'BHI', 'BHL', 'BHM', 'BHP', 'BHQ', 'BHR', 'BHS', 'BHT', 'BHU', 'BHV', 'BHX', 'BHY', 'BIO', 'BJO', 'BNO', 'BO', 'BPO', 'BRO', 'BSO', 'BTO', 'BUO', 'BVO', 'BXO', 'BYO', 'BZO', 'C', 'C0G', 'C10', 'C11', 'C12', 'C13', 'C14', 'C15', 'C16', 'C17', 'C18', 'C19', 'C20', 'C21', 'C22', 'C23', 'C24', 'C25', 'C27', 'C28', 'C2C', 'C30', 'C31', 'C32', 'C33', 'C34', 'C35', 'C36', 'C40', 'C41', 'C44', 'C45', 'C46', 'C47', 'C50', 'C51', 'C52', 'C53', 'C60', 'C61', 'C62', 'C63', 'C64', 'C65', 'C66', 'C69', 'C70', 'C77', 'C88', 'C91', 'C96', 'C99', 'CA', 'CAB', 'CAD', 'CAF', 'CAG', 'CAH', 'CAJ', 'CAK', 'CAL', 'CAM', 'CAN', 'CAP', 'CAPO', 'CAQ', 'CAT', 'CAU', 'CAV', 'CAW', 'CAY', 'CB', 'CBB', 'CBD', 'CBE', 'CBG', 'CBH', 'CBJ', 'CBL', 'CBOL', 'CBU', 'CBV', 'CBX', 'CBZ', 'CC', 'CCE', 'CCF', 'CCH', 'CCJ', 'CCK', 'CCL', 'CCM', 'CCN', 'CCQ', 'CCRO', 'CCT', 'CCV', 'CCW', 'CCX', 'CCZ', 'CDB', 'CDD', 'CDE', 'CDF', 'CDG', 'CDH', 'CDI', 'CDJ', 'CDK', 'CDL', 'CDM', 'CDS', 'CDW', 'CDZ', 'CE', 'CEAO', 'CEB', 'CEC', 'CED', 'CEE', 'CEF', 'CEG', 'CEI', 'CEJ', 'CEL', 'CEM', 'CEN', 'CEQ', 'CER', 'CES', 'CET', 'CEU', 'CEV', 'CF', 'CFAO', 'CFF', 'CFG', 'CFH', 'CFJ', 'CFL', 'CFM', 'CFN', 'CG', 'CGC', 'CGE', 'CGF', 'CGG', 'CGH', 'CGJ', 'CGK', 'CGL', 'CGN', 'CGR', 'CGT', 'CGU', 'CGY', 'CGZ', 'CHAM', 'CHJT', 'CHMP', 'CHRS', 'CHUB', 'CHUV', 'CI', 'CID', 'CIF', 'CIH', 'CII', 'CIJ', 'CIK', 'CIL', 'CIM', 'CIP', 'CIQ', 'CIR', 'CIT', 'CIU', 'CIV', 'CJ', 'CJA', 'CJB', 'CJF', 'CJH', 'CJJ', 'CJL', 'CJN', 'CJS', 'CK', 'CKB', 'CKK', 'CKM', 'CKR', 'CKS', 'CKY', 'CL', 'CLA', 'CLB', 'CLC', 'CLD', 'CLE', 'CLH', 'CLJ', 'CLL', 'CLM', 'CLN', 'CLQ', 'CLU', 'CLV', 'CLW', 'CLX', 'CLY', 'CLZ', 'CM', 'CMC', 'CMD', 'CMI', 'CMJ', 'CMK', 'CML', 'CMM', 'CMP', 'CMR', 'CMS', 'CMT', 'CMV', 'CMW', 'CMX', 'CN', 'CNA', 'CNB', 'CNF', 'CNJ', 'CNK', 'CNL', 'CNM', 'CNOF', 'CNP', 'CNQ', 'CNU', 'CNV', 'CNW', 'CNX', 'CNY', 'CNZ', 'CO2', 'CO3', 'COB', 'COC', 'COD', 'COE', 'COF', 'COG', 'COI', 'COJO', 'COK', 'COL', 'COM', 'CON', 'COP', 'COQ', 'COU', 'COV', 'CPD', 'CPG', 'CPH', 'CPJ', 'CPL', 'CPS', 'CPV', 'CQA', 'CQE', 'CQF', 'CQG', 'CQI', 'CQL', 'CQM', 'CQP', 'CQS', 'CQT', 'CQX', 'CQZ', 'CR', 'CRA', 'CRB', 'CRD', 'CRE', 'CRF', 'CRG', 'CRH', 'CRJ', 'CRK', 'CRM', 'CRN', 'CROM', 'CROS', 'CRP', 'CRQ', 'CRR', 'CRS', 'CRW', 'CRY', 'CRZ', 'CS', 'CSE', 'CSM', 'CSOB', 'CT', 'CTB', 'CTE', 'CTK', 'CTR', 'CUA', 'CUB', 'CUC', 'CUD', 'CUF', 'CUG', 'CUJ', 'CUL', 'CUM', 'CUP', 'CUR', 'CUT', 'CUU', 'CUV', 'CUW', 'CUZ', 'CVE', 'CVF', 'CVG', 'CVH', 'CVI', 'CVL', 'CVM', 'CVN', 'CVP', 'CVU', 'CVX', 'CW', 'CWB', 'CWE', 'CWF', 'CWT', 'CXE', 'CXL', 'CXM', 'CXP', 'CXQ', 'CXR', 'CY', 'CYA', 'CYK', 'CYM', 'CYP', 'CYT', 'CYZ', 'CZ', 'CZC', 'CZF', 'CZJ', 'CZK', 'CZL', 'CZM', 'CZN', 'CZP', 'CZS', 'CZT', 'CZU', 'CZW', 'CZX', 'CZY', 'CZZ', 'Ca', 'Cb', 'Cd', 'Ce', 'Ci', 'Cid', 'Cr', 'Cs', 'Ct', 'Cu', 'DBO', 'DCO', 'DDO', 'DFO', 'DH', 'DHA', 'DHC', 'DHH', 'DHI', 'DHM', 'DHP', 'DHR', 'DHS', 'DHT', 'DJO', 'DMO', 'DO', 'DPO', 'DXO', 'DZO', 'EAO', 'ECHL', 'EHL', 'EHOS', 'EHS', 'ELO', 'EO', 'EPO', 'ERO', 'FCO', 'FFO', 'FHC', 'FHE', 'FHM', 'FMO', 'FNO', 'FO', 'FRO', 'FTO', 'Flo', 'GAO', 'GHC', 'GHI', 'GHK', 'GHM', 'GHQ', 'GHS', 'GHT', 'GO', 'GSO', 'GTO', 'H', 'H1', 'H2', 'H3', 'H4', 'HA', 'HDO', 'HHH', 'HHV', 'HI', 'HL', 'HM', 'HOE', 'HOI', 'HOK', 'HOL', 'HOM', 'HON', 'HOV', 'HR', 'HS', 'HT', 'HTO', 'HU', 'HY', 'Ha', 'Hf', 'Hg', 'Hon', 'Hz', 'IAO', 'IBO', 'ICH', 'IFO', 'IHP', 'IHT', 'ISO', 'Ibo', 'Io', 'Ito', 'JGO', 'JHS', 'JO', 'JPO', 'KHM', 'KHR', 'KHS', 'KNO', 'LBO', 'LCAO', 'LCH', 'LH', 'LH2', 'LHB', 'LHI', 'LHR', 'LHS', 'LHV', 'LHW', 'LNO', 'LO', 'MCH', 'MH', 'MHL', 'MHN', 'MHP', 'MHR', 'MO', 'MSO', 'MYO', 'Mo', 'NAO', 'NH', 'NHC', 'NHF', 'NHN', 'NIO', 'NLO', 'NO', 'NPO', 'NRO', 'Neo', 'O', 'OAO', 'OBO', 'OCHA', 'OCO', 'OH', 'OHA', 'OHI', 'OHM', 'OLO', 'OMO', 'OO', 'OPO', 'OTO', 'Ono', 'PAO', 'PDO', 'PFO', 'PGO', 'PH', 'PHA', 'PHC', 'PHD', 'PHI', 'PHL', 'PHP', 'PHR', 'PHS', 'PHX', 'PIO', 'PLO', 'PMO', 'PO', 'POO', 'PPO', 'PRO', 'Po', 'QPO', 'RGO', 'RHC', 'RHD', 'RHF', 'RHK', 'RHP', 'RHS', 'RIO', 'RNO', 'RO', 'RSO', 'RTO', 'Rh', 'SAO', 'SCO', 'SDO', 'SEO', 'SH', 'SHA', 'SHD', 'SHG', 'SHK', 'SHM', 'SHN', 'SHP', 'SHR', 'SHU', 'SLO', 'SO', 'SOHO', 'STO', 'Shi', 'TAO', 'TCAO', 'TCH', 'TH', 'THA', 'THB', 'THD', 'THF', 'THM', 'THP', 'THS', 'THT', 'THX', 'TKO', 'TNO', 'TO', 'TPO', 'TSO', 'TTO', 'TVO', 'TYO', 'Th', 'Thu', 'UIO', 'UO', 'UQO', 'UUO', 'VCO', 'VHC', 'VHD', 'VHF', 'VHL', 'VHP', 'VHR', 'VHS', 'VHU', 'VMO', 'VO', 'WHA', 'WHS', 'WHT', 'WHW', 'YCO', 'YHA', 'YHD', 'YHS', 'YMO', 'YTO', 'YVO', 'ZH', 'ZO', 'ZRO', 'Achoo', 'Cay', 'Cc', 'Cg', 'Chem', 'Chemo', 'Chge', 'Chis', 'Chocs', 'Cir', 'Cis', 'Ck', 'Cohos', 'Cor', 'Cos', 'Cps', 'Ctn', 'Ctr', 'Cum', 'Cwt', 'Dhow', 'Echos', 'Hoe', 'Hos', 'Hp', 'Hr', 'Ht', 'Lo', 'Loo', 'Och', 'Poo', 'Rhos', 'Shh', 'Shod', 'Uhf', 'ACh', 'BH', 'C&A', 'C&C', 'C3', 'CAE', 'CAS', 'CCs', 'CDOs', 'CEOs', 'CFOs', 'CGM', 'CIG', 'CIOs', 'CIS', 'CKs', 'CMOs', 'COA', 'COOs', 'CP', 'CPN', 'CPP', 'CPQ', 'CPT', 'CQC', 'CR7', 'CSGO', 'CSOs', 'CTG', 'CTOs', 'CTS', 'CTSO', 'CTU', 'CTs', 'CVA', 'CVV', 'CVs', 'CWL', 'CWM', 